Prot.Id	N.observations	Best.log(e)
ENSP00000000233	3892	-200.6
ENSP00000000412	1460	-195.8
ENSP00000000442	137	-201.2
ENSP00000001008	2709	-437.2
ENSP00000001146	17	-7.2
ENSP00000002125	217	-66.2
ENSP00000002165	628	-128.4
ENSP00000002501	10	-15
ENSP00000002596	14	-3
ENSP00000002829	47	-144.7
ENSP00000003084	59	-412.2
ENSP00000003100	768	-148.9
ENSP00000003302	354	-76.3
ENSP00000003583	16	-3.4
ENSP00000003834	133	-60.4
ENSP00000003912	15	-9.9
ENSP00000004103	3	-1.7
ENSP00000004531	246	-32.3
ENSP00000004921	12	-31.2
ENSP00000004980	137	-89.7
ENSP00000004982	588	-132.3
ENSP00000005082	54	-12
ENSP00000005178	61	-185.7
ENSP00000005180	3	-4.3
ENSP00000005226	89	-12.1
ENSP00000005257	1724	-148.7
ENSP00000005259	338	-102.5
ENSP00000005260	634	-81.8
ENSP00000005279	485	-111.1
ENSP00000005284	15	-5.3
ENSP00000005286	111	-88
ENSP00000005340	363	-63.3
ENSP00000005374	654	-61.4
ENSP00000005386	761	-205.4
ENSP00000005558	173	-395.5
ENSP00000005587	464	-276.1
ENSP00000005756	8	-3.6
ENSP00000005905	143	-65
ENSP00000005995	143	-63.4
ENSP00000006015	27	-74.8
ENSP00000006053	36	-18.3
ENSP00000006101	37	-27.9
ENSP00000006251	38	-11.2
ENSP00000006275	28	-14.8
ENSP00000006526	93	-46
ENSP00000006658	145	-55.7
ENSP00000006724	18	-34.7
ENSP00000006750	23	-20.2
ENSP00000006777	168	-22.3
ENSP00000006967	45	-15.5
ENSP00000007264	19	-24.2
ENSP00000007390	82	-48.4
ENSP00000007414	65	-14
ENSP00000007510	51	-539.8
ENSP00000007516	692	-120.4
ENSP00000007660	13	-11.7
ENSP00000007699	2460	-221.3
ENSP00000007708	74	-34.9
ENSP00000007722	1162	-490.3
ENSP00000007735	799	-793.3
ENSP00000007969	21	-3.1
ENSP00000008180	80	-29.1
ENSP00000008391	87	-8.9
ENSP00000008440	5	-3.7
ENSP00000008527	64	-42.6
ENSP00000008686	10	-6.7
ENSP00000008876	4	-2.8
ENSP00000008938	572	-318.8
ENSP00000009041	98	-24.6
ENSP00000009105	22	-65.2
ENSP00000009180	1373	-126.9
ENSP00000009530	579	-160.6
ENSP00000009589	2533	-107
ENSP00000010132	10	-7.2
ENSP00000010299	38	-88
ENSP00000010338	215	-165
ENSP00000010404	844	-225.8
ENSP00000011292	56	-504.9
ENSP00000011473	1189	-43.9
ENSP00000011619	486	-122.6
ENSP00000011653	85	-48.7
ENSP00000011684	27	-129.4
ENSP00000011691	19	-13.6
ENSP00000011700	275	-106.8
ENSP00000011898	137	-65.6
ENSP00000011989	48	-36.6
ENSP00000012049	290	-150.1
ENSP00000012134	133	-31.9
ENSP00000012443	1150	-201.9
ENSP00000013034	4201	-300.8
ENSP00000013070	409	-178.2
ENSP00000013125	306	-75.1
ENSP00000013222	10	-4.1
ENSP00000013807	114	-58.3
ENSP00000013894	61	-55.8
ENSP00000014112	4946	-465.2
ENSP00000014914	376	-99
ENSP00000014930	993	-114.4
ENSP00000014935	65	-23.8
ENSP00000015877	135	-36
ENSP00000016171	262	-105.1
ENSP00000016913	4	-1.3
ENSP00000016946	1222	-257.2
ENSP00000017003	128	-75.1
ENSP00000019019	203	-47.5
ENSP00000019103	4	-4.7
ENSP00000019317	339	-225.3
ENSP00000020673	42	-52.4
ENSP00000020926	11	-3.3
ENSP00000020945	11	-9.2
ENSP00000022615	3825	-261
ENSP00000023064	44	-11.7
ENSP00000023897	15	-134.2
ENSP00000023939	459	-79.6
ENSP00000024061	54	-5.1
ENSP00000025008	360	-118.1
ENSP00000025301	340	-302
ENSP00000025399	2288	-264.8
ENSP00000025469	33	-26.2
ENSP00000026218	36	-34.4
ENSP00000026464	24	-18.7
ENSP00000027335	159	-393.3
ENSP00000028008	537	-142.9
ENSP00000029410	39	-20.1
ENSP00000031135	1705	-1614.1
ENSP00000033079	25	-1351.6
ENSP00000034275	1049	-170.5
ENSP00000035307	162	-30.6
ENSP00000035383	201	-19.9
ENSP00000037243	298	-81.7
ENSP00000037502	133	-267.1
ENSP00000037869	645	-115.2
ENSP00000038176	117	-49.4
ENSP00000039007	140	-104.9
ENSP00000039989	143	-49.9
ENSP00000040584	7	-2.4
ENSP00000040663	483	-91.2
ENSP00000040738	832	-626.2
ENSP00000040877	235	-179.7
ENSP00000042381	228	-63.4
ENSP00000042931	42	-4.8
ENSP00000043402	41	-23.7
ENSP00000043410	154	-26.2
ENSP00000044462	2611	-184.2
ENSP00000045083	113	-31.3
ENSP00000045347	16	-8.3
ENSP00000046087	18	-29.8
ENSP00000046640	2	-1.1
ENSP00000046794	547	-312.6
ENSP00000046894	155	-35.4
ENSP00000050961	135	-25.8
ENSP00000052569	465	-78.3
ENSP00000052754	1498	-791
ENSP00000053243	10	-11.2
ENSP00000053468	318	-89.6
ENSP00000053469	3	-2.2
ENSP00000053867	1188	-247.9
ENSP00000054216	34	-16.4
ENSP00000054650	13	-4.6
ENSP00000054666	1590	-88.6
ENSP00000054668	252	-7.7
ENSP00000054950	2173	-206.4
ENSP00000055077	1100	-537.6
ENSP00000055163	590	-372.3
ENSP00000055335	33	-8.7
ENSP00000055682	48	-9.2
ENSP00000056217	152	-963.3
ENSP00000056233	21	-9.9
ENSP00000057513	8	-2.5
ENSP00000058691	944	-227
ENSP00000060969	96	-55.7
ENSP00000061240	46	-54.7
ENSP00000062104	4	-2.3
ENSP00000064571	80	-29.2
ENSP00000064724	27	-65
ENSP00000064778	42	-16.3
ENSP00000064780	117	-45.4
ENSP00000066465	172	-39.2
ENSP00000066544	574	-429.9
ENSP00000070846	734	-283.7
ENSP00000071281	1859	-328.2
ENSP00000072516	343	-140.1
ENSP00000072644	42	-15.9
ENSP00000072869	28	-6.1
ENSP00000074304	227	-94.5
ENSP00000075120	1440	-304.1
ENSP00000075322	428	-318.2
ENSP00000075430	291	-60.5
ENSP00000075503	10	-3.4
ENSP00000078429	1420	-130.3
ENSP00000078445	66	-12.8
ENSP00000078527	10	-9.5
ENSP00000078652	303	-178.3
ENSP00000080059	305	-79.9
ENSP00000081029	646	-119.6
ENSP00000082259	19	-3.5
ENSP00000083182	47	-22.1
ENSP00000084795	4430	-212.1
ENSP00000084798	24	-22.2
ENSP00000085068	947	-518.1
ENSP00000085079	754	-72.6
ENSP00000085219	31	-41.5
ENSP00000086933	25	-6.6
ENSP00000155093	63	-20.3
ENSP00000155674	786	-119.1
ENSP00000155840	33	-20.3
ENSP00000155858	27	-5.9
ENSP00000155926	3	-2.4
ENSP00000156084	335	-99.4
ENSP00000156109	710	-129.9
