enspid	protlen
ENSP00000000233	180
ENSP00000000412	277
ENSP00000000442	423
ENSP00000001008	459
ENSP00000001146	512
ENSP00000002125	441
ENSP00000002165	467
ENSP00000002501	158
ENSP00000002596	307
ENSP00000002829	785
ENSP00000003084	1480
ENSP00000003100	509
ENSP00000003302	1077
ENSP00000003583	287
ENSP00000003834	690
ENSP00000003912	324
ENSP00000004103	235
ENSP00000004531	698
ENSP00000004921	89
ENSP00000004980	644
ENSP00000004982	160
ENSP00000005082	606
ENSP00000005178	411
ENSP00000005180	94
ENSP00000005226	899
ENSP00000005257	206
ENSP00000005259	241
ENSP00000005260	511
ENSP00000005279	1314
ENSP00000005284	315
ENSP00000005286	1024
ENSP00000005340	736
ENSP00000005374	114
ENSP00000005386	665
ENSP00000005558	451
ENSP00000005587	359
ENSP00000005756	317
ENSP00000005905	2235
ENSP00000005995	314
ENSP00000006015	313
ENSP00000006053	397
ENSP00000006101	208
ENSP00000006251	379
ENSP00000006275	173
ENSP00000006526	334
ENSP00000006658	802
ENSP00000006724	265
ENSP00000006750	229
ENSP00000006777	364
ENSP00000006967	809
ENSP00000007264	312
ENSP00000007390	312
ENSP00000007414	842
ENSP00000007510	1287
ENSP00000007516	156
ENSP00000007660	265
ENSP00000007699	364
ENSP00000007708	343
ENSP00000007722	1066
ENSP00000007735	404
ENSP00000007969	343
ENSP00000008180	168
ENSP00000008391	452
ENSP00000008440	207
ENSP00000008527	586
ENSP00000008686	264
ENSP00000008876	598
ENSP00000008938	196
ENSP00000009041	234
ENSP00000009105	476
ENSP00000009180	228
ENSP00000009530	296
ENSP00000009589	119
ENSP00000010132	520
ENSP00000010299	341
ENSP00000010338	531
ENSP00000010404	155
ENSP00000011292	419
ENSP00000011473	259
ENSP00000011619	729
ENSP00000011653	458
ENSP00000011684	790
ENSP00000011691	77
ENSP00000011700	3209.66666666667
ENSP00000011898	239
ENSP00000011989	190
ENSP00000012049	382
ENSP00000012134	2446
ENSP00000012443	499
ENSP00000013034	177
ENSP00000013070	425
ENSP00000013125	846
ENSP00000013222	263
ENSP00000013807	323
ENSP00000013894	44
ENSP00000014112	531
ENSP00000014914	357
ENSP00000014930	189
ENSP00000014935	302
ENSP00000015877	701
ENSP00000016171	410
ENSP00000016913	267
ENSP00000016946	1765
ENSP00000017003	865
ENSP00000019019	327
ENSP00000019103	440
