protid	isfwd
rev_ENSP00000000233	-1
rev_ENSP00000000412	-1
rev_ENSP00000000442	0
rev_ENSP00000001008	0
rev_ENSP00000001146	-1
rev_ENSP00000002125	0
rev_ENSP00000002165	0
rev_ENSP00000002501	0
rev_ENSP00000002596	0
rev_ENSP00000002829	-1
rev_ENSP00000003084	0
rev_ENSP00000003100	0
rev_ENSP00000003302	0
rev_ENSP00000003583	0
rev_ENSP00000003834	-1
rev_ENSP00000003912	-1
rev_ENSP00000004103	-1
rev_ENSP00000004531	-1
rev_ENSP00000004921	-1
rev_ENSP00000004980	-1
rev_ENSP00000004982	0
rev_ENSP00000005082	0
rev_ENSP00000005178	-1
rev_ENSP00000005180	0
rev_ENSP00000005226	-1
rev_ENSP00000005257	0
rev_ENSP00000005259	0
rev_ENSP00000005260	-1
rev_ENSP00000005279	-1
rev_ENSP00000005284	-1
rev_ENSP00000005286	-1
rev_ENSP00000005340	0
rev_ENSP00000005374	0
rev_ENSP00000005386	0
rev_ENSP00000005558	-1
rev_ENSP00000005587	-1
rev_ENSP00000005756	0
rev_ENSP00000005905	0
rev_ENSP00000005995	-1
rev_ENSP00000006015	0
rev_ENSP00000006053	0
rev_ENSP00000006101	-1
rev_ENSP00000006251	0
rev_ENSP00000006275	-1
rev_ENSP00000006526	0
rev_ENSP00000006658	0
rev_ENSP00000006724	0
rev_ENSP00000006750	0
rev_ENSP00000006777	-1
rev_ENSP00000006967	0
rev_ENSP00000007264	-1
rev_ENSP00000007390	0
rev_ENSP00000007414	0
rev_ENSP00000007510	-1
rev_ENSP00000007516	0
rev_ENSP00000007660	-1
rev_ENSP00000007699	-1
rev_ENSP00000007708	-1
rev_ENSP00000007722	-1
rev_ENSP00000007735	-1
rev_ENSP00000007969	-1
rev_ENSP00000008180	-1
rev_ENSP00000008391	-1
rev_ENSP00000008440	-1
rev_ENSP00000008527	-1
rev_ENSP00000008686	0
rev_ENSP00000008876	0
rev_ENSP00000008938	0
rev_ENSP00000009041	0
rev_ENSP00000009105	-1
rev_ENSP00000009180	-1
rev_ENSP00000009530	0
rev_ENSP00000009589	-1
rev_ENSP00000010132	0
rev_ENSP00000010299	-1
rev_ENSP00000010338	0
rev_ENSP00000010404	-1
rev_ENSP00000011292	-1
rev_ENSP00000011473	0
rev_ENSP00000011619	0
rev_ENSP00000011653	0
rev_ENSP00000011684	0
rev_ENSP00000011691	0
rev_ENSP00000011700	-1
rev_ENSP00000011898	-1
rev_ENSP00000011989	0
rev_ENSP00000012049	0
rev_ENSP00000012134	-1
rev_ENSP00000012443	-1
rev_ENSP00000013034	-1
rev_ENSP00000013070	-1
rev_ENSP00000013125	0
rev_ENSP00000013222	-1
rev_ENSP00000013807	0
rev_ENSP00000013894	-1
rev_ENSP00000014112	-1
rev_ENSP00000014914	0
rev_ENSP00000014930	0
rev_ENSP00000014935	-1
rev_ENSP00000015877	-1
rev_ENSP00000016171	-1
rev_ENSP00000016913	-1
rev_ENSP00000016946	0
rev_ENSP00000017003	-1
rev_ENSP00000019019	0
rev_ENSP00000019103	0
rev_ENSP00000019317	-1
rev_ENSP00000020673	0
rev_ENSP00000020926	-1
rev_ENSP00000020945	0
rev_ENSP00000022615	-1
rev_ENSP00000023064	-1
rev_ENSP00000023897	-1
rev_ENSP00000023939	-1
rev_ENSP00000024061	0
rev_ENSP00000025008	0
rev_ENSP00000025301	0
rev_ENSP00000025399	-1
rev_ENSP00000025469	0
rev_ENSP00000026218	0
rev_ENSP00000026464	0
rev_ENSP00000027335	0
rev_ENSP00000028008	-1
rev_ENSP00000029410	-1
rev_ENSP00000031135	-1
rev_ENSP00000033079	-1
rev_ENSP00000034275	-1
rev_ENSP00000035307	0
rev_ENSP00000035383	-1
rev_ENSP00000037243	0
rev_ENSP00000037502	0
rev_ENSP00000037869	0
rev_ENSP00000038176	0
rev_ENSP00000039007	0
rev_ENSP00000039989	0
rev_ENSP00000040584	-1
rev_ENSP00000040663	0
rev_ENSP00000040738	0
rev_ENSP00000040877	0
rev_ENSP00000042381	-1
rev_ENSP00000042931	0
rev_ENSP00000043402	0
rev_ENSP00000043410	-1
rev_ENSP00000044462	-1
rev_ENSP00000045083	0
rev_ENSP00000045347	-1
rev_ENSP00000046087	0
rev_ENSP00000046640	0
rev_ENSP00000046794	-1
rev_ENSP00000046894	0
rev_ENSP00000050961	-1
rev_ENSP00000052569	-1
rev_ENSP00000052754	0
rev_ENSP00000053243	0
rev_ENSP00000053468	-1
rev_ENSP00000053469	-1
rev_ENSP00000053867	0
rev_ENSP00000054216	-1
rev_ENSP00000054650	-1
rev_ENSP00000054666	-1
rev_ENSP00000054668	0
rev_ENSP00000054950	0
rev_ENSP00000055077	-1
rev_ENSP00000055163	-1
rev_ENSP00000055335	-1
rev_ENSP00000055682	-1
rev_ENSP00000056217	-1
rev_ENSP00000056233	0
rev_ENSP00000057513	-1
rev_ENSP00000058691	-1
rev_ENSP00000060969	0
rev_ENSP00000061240	0
rev_ENSP00000062104	-1
rev_ENSP00000064571	0
rev_ENSP00000064724	0
rev_ENSP00000064778	0
rev_ENSP00000064780	0
rev_ENSP00000066465	-1
rev_ENSP00000066544	0
rev_ENSP00000070846	0
rev_ENSP00000071281	-1
rev_ENSP00000072516	-1
rev_ENSP00000072644	0
rev_ENSP00000072869	-1
rev_ENSP00000074304	0
rev_ENSP00000075120	-1
rev_ENSP00000075322	0
rev_ENSP00000075430	0
rev_ENSP00000075503	-1
rev_ENSP00000078429	0
rev_ENSP00000078445	-1
rev_ENSP00000078527	0
rev_ENSP00000078652	0
rev_ENSP00000080059	0
rev_ENSP00000081029	0
rev_ENSP00000082259	0
rev_ENSP00000083182	0
rev_ENSP00000084795	0
rev_ENSP00000084798	0
rev_ENSP00000085068	0
rev_ENSP00000085079	0
rev_ENSP00000085219	-1
rev_ENSP00000086933	0
rev_ENSP00000155093	0
rev_ENSP00000155674	-1
rev_ENSP00000155840	0
rev_ENSP00000155858	0
rev_ENSP00000155926	-1
rev_ENSP00000156084	-1
rev_ENSP00000156109	-1
rev_ENSP00000156471	0
rev_ENSP00000156476	-1
rev_ENSP00000156499	-1
rev_ENSP00000156626	0
rev_ENSP00000156825	-1
rev_ENSP00000157600	0
rev_ENSP00000157775	0
rev_ENSP00000157812	0
rev_ENSP00000158009	-1
rev_ENSP00000158149	0
rev_ENSP00000158166	0
rev_ENSP00000158526	-1
rev_ENSP00000158762	0
rev_ENSP00000158771	0
rev_ENSP00000159060	-1
rev_ENSP00000159087	0
rev_ENSP00000159111	0
rev_ENSP00000159647	-1
rev_ENSP00000160262	0
rev_ENSP00000160298	0
rev_ENSP00000160373	0
rev_ENSP00000160382	-1
rev_ENSP00000160713	0
rev_ENSP00000160740	0
rev_ENSP00000160827	-1
rev_ENSP00000161006	-1
rev_ENSP00000161559	-1
rev_ENSP00000161863	-1
rev_ENSP00000162023	0
rev_ENSP00000162044	-1
rev_ENSP00000162330	0
rev_ENSP00000162391	-1
rev_ENSP00000162749	-1
rev_ENSP00000163416	0
rev_ENSP00000163678	0
rev_ENSP00000164024	0
rev_ENSP00000164133	0
rev_ENSP00000164139	0
rev_ENSP00000164227	0
rev_ENSP00000164247	0
rev_ENSP00000164305	-1
rev_ENSP00000164640	0
rev_ENSP00000165524	-1
rev_ENSP00000165698	-1
rev_ENSP00000166133	-1
rev_ENSP00000166139	-1
rev_ENSP00000166244	-1
rev_ENSP00000166345	0
rev_ENSP00000166534	-1
rev_ENSP00000167106	0
rev_ENSP00000167218	-1
rev_ENSP00000167462	-1
rev_ENSP00000167586	0
rev_ENSP00000167588	0
rev_ENSP00000167825	-1
rev_ENSP00000168148	-1
rev_ENSP00000168216	-1
rev_ENSP00000168712	0
rev_ENSP00000168869	0
rev_ENSP00000168977	-1
rev_ENSP00000169293	0
rev_ENSP00000169298	0
rev_ENSP00000169551	-1
rev_ENSP00000169565	-1
rev_ENSP00000170150	-1
rev_ENSP00000170168	-1
rev_ENSP00000170447	0
rev_ENSP00000170564	-1
rev_ENSP00000170630	-1
rev_ENSP00000171000	0
rev_ENSP00000171111	-1
rev_ENSP00000171214	0
rev_ENSP00000171757	-1
rev_ENSP00000171887	0
rev_ENSP00000172229	-1
rev_ENSP00000172853	-1
rev_ENSP00000173229	0
rev_ENSP00000173385	-1
rev_ENSP00000173527	-1
rev_ENSP00000173898	0
rev_ENSP00000174618	-1
rev_ENSP00000174621	0
rev_ENSP00000174653	0
rev_ENSP00000174661	-1
rev_ENSP00000175091	0
rev_ENSP00000175238	0
rev_ENSP00000175506	0
rev_ENSP00000175756	-1
rev_ENSP00000176183	-1
rev_ENSP00000176195	-1
rev_ENSP00000176643	0
rev_ENSP00000176763	0
rev_ENSP00000177648	-1
rev_ENSP00000177694	0
rev_ENSP00000177742	0
rev_ENSP00000178638	-1
rev_ENSP00000178640	-1
rev_ENSP00000179259	-1
rev_ENSP00000179765	0
rev_ENSP00000179882	0
rev_ENSP00000180166	0
rev_ENSP00000180173	0
rev_ENSP00000181383	0
rev_ENSP00000181796	-1
rev_ENSP00000181839	-1
rev_ENSP00000182096	-1
rev_ENSP00000182290	-1
rev_ENSP00000182377	-1
rev_ENSP00000182527	0
rev_ENSP00000183605	0
rev_ENSP00000183936	-1
rev_ENSP00000184183	-1
rev_ENSP00000184266	0
rev_ENSP00000184956	0
rev_ENSP00000185150	0
rev_ENSP00000185206	-1
rev_ENSP00000185907	0
rev_ENSP00000185942	-1
rev_ENSP00000186436	0
rev_ENSP00000187397	0
rev_ENSP00000187608	0
rev_ENSP00000187762	-1
rev_ENSP00000187830	-1
rev_ENSP00000187879	0
rev_ENSP00000187910	-1
rev_ENSP00000188312	-1
rev_ENSP00000188376	-1
rev_ENSP00000188403	0
rev_ENSP00000188790	-1
rev_ENSP00000189444	0
rev_ENSP00000189978	-1
rev_ENSP00000190165	-1
rev_ENSP00000190611	-1
rev_ENSP00000190983	0
rev_ENSP00000191018	-1
rev_ENSP00000192314	0
rev_ENSP00000192788	0
rev_ENSP00000193029	-1
rev_ENSP00000193322	-1
rev_ENSP00000193391	-1
rev_ENSP00000193403	-1
rev_ENSP00000193422	-1
rev_ENSP00000193532	-1
rev_ENSP00000194118	0
rev_ENSP00000194130	0
rev_ENSP00000194152	0
rev_ENSP00000194155	0
rev_ENSP00000194214	0
rev_ENSP00000194530	0
rev_ENSP00000194672	-1
rev_ENSP00000194871	0
rev_ENSP00000194900	-1
rev_ENSP00000195173	-1
rev_ENSP00000195455	0
rev_ENSP00000195649	-1
rev_ENSP00000195654	0
rev_ENSP00000196061	0
rev_ENSP00000196169	0
rev_ENSP00000196371	0
rev_ENSP00000196482	-1
rev_ENSP00000196489	-1
rev_ENSP00000196548	-1
rev_ENSP00000196551	-1
rev_ENSP00000197268	-1
rev_ENSP00000198536	0
rev_ENSP00000198587	-1
rev_ENSP00000198765	-1
rev_ENSP00000198767	0
rev_ENSP00000198801	-1
rev_ENSP00000198939	-1
rev_ENSP00000199280	-1
rev_ENSP00000199320	-1
rev_ENSP00000199389	0
rev_ENSP00000199447	0
rev_ENSP00000199448	0
rev_ENSP00000199706	-1
rev_ENSP00000199708	0
rev_ENSP00000199764	-1
rev_ENSP00000199814	0
rev_ENSP00000199936	-1
rev_ENSP00000199940	0
rev_ENSP00000200135	-1
rev_ENSP00000200181	0
rev_ENSP00000200307	-1
rev_ENSP00000200453	-1
rev_ENSP00000200457	0
rev_ENSP00000200557	0
rev_ENSP00000200639	0
rev_ENSP00000200652	-1
rev_ENSP00000200676	-1
rev_ENSP00000200691	-1
rev_ENSP00000201015	0
rev_ENSP00000201023	0
rev_ENSP00000201031	0
rev_ENSP00000201586	0
rev_ENSP00000201647	-1
rev_ENSP00000201886	0
rev_ENSP00000201943	0
rev_ENSP00000201961	-1
rev_ENSP00000201963	-1
rev_ENSP00000201979	0
rev_ENSP00000202017	-1
rev_ENSP00000202028	0
rev_ENSP00000202556	0
rev_ENSP00000202578	0
rev_ENSP00000202584	-1
rev_ENSP00000202625	-1
rev_ENSP00000202677	-1
rev_ENSP00000202773	0
rev_ENSP00000202788	0
rev_ENSP00000202816	-1
rev_ENSP00000202831	-1
rev_ENSP00000202834	-1
rev_ENSP00000202917	0
rev_ENSP00000202967	0
rev_ENSP00000203001	0
rev_ENSP00000203407	0
rev_ENSP00000203556	0
rev_ENSP00000203616	-1
rev_ENSP00000203629	-1
rev_ENSP00000203630	0
rev_ENSP00000203664	0
rev_ENSP00000203786	-1
rev_ENSP00000204005	0
rev_ENSP00000204307	-1
rev_ENSP00000204517	-1
rev_ENSP00000204549	-1
rev_ENSP00000204566	0
rev_ENSP00000204604	0
rev_ENSP00000204615	-1
rev_ENSP00000204637	-1
rev_ENSP00000204679	-1
rev_ENSP00000204726	-1
rev_ENSP00000204801	0
rev_ENSP00000204961	-1
rev_ENSP00000205055	-1
rev_ENSP00000205061	-1
rev_ENSP00000205135	0
rev_ENSP00000205143	-1
rev_ENSP00000205194	0
rev_ENSP00000205214	-1
rev_ENSP00000205386	0
rev_ENSP00000205402	0
rev_ENSP00000205448	0
rev_ENSP00000205557	-1
rev_ENSP00000205558	0
rev_ENSP00000205636	-1
rev_ENSP00000205890	-1
rev_ENSP00000205948	0
rev_ENSP00000206020	-1
rev_ENSP00000206249	0
rev_ENSP00000206262	0
rev_ENSP00000206380	-1
rev_ENSP00000206423	-1
rev_ENSP00000206446	-1
rev_ENSP00000206451	-1
rev_ENSP00000206466	0
rev_ENSP00000206474	0
rev_ENSP00000206513	-1
rev_ENSP00000206514	-1
rev_ENSP00000206542	-1
rev_ENSP00000206544	-1
rev_ENSP00000206595	0
rev_ENSP00000206660	-1
rev_ENSP00000206765	-1
rev_ENSP00000207062	-1
rev_ENSP00000207157	-1
rev_ENSP00000207437	-1
rev_ENSP00000207457	0
rev_ENSP00000207549	0
rev_ENSP00000207636	-1
rev_ENSP00000207726	0
rev_ENSP00000207870	-1
rev_ENSP00000209540	0
rev_ENSP00000209665	0
rev_ENSP00000209668	-1
rev_ENSP00000209718	-1
rev_ENSP00000209728	-1
rev_ENSP00000209873	-1
rev_ENSP00000209875	0
rev_ENSP00000209884	-1
rev_ENSP00000209929	-1
rev_ENSP00000210060	0
rev_ENSP00000210187	-1
rev_ENSP00000210227	0
rev_ENSP00000210313	0
rev_ENSP00000210444	-1
rev_ENSP00000210633	-1
rev_ENSP00000211076	0
rev_ENSP00000211122	0
rev_ENSP00000211238	0
rev_ENSP00000211287	0
rev_ENSP00000211314	0
rev_ENSP00000211372	-1
rev_ENSP00000211377	-1
rev_ENSP00000211379	0
rev_ENSP00000211402	-1
rev_ENSP00000211413	0
rev_ENSP00000211921	-1
rev_ENSP00000211936	-1
rev_ENSP00000211998	0
rev_ENSP00000212015	-1
rev_ENSP00000212355	-1
rev_ENSP00000212369	0
rev_ENSP00000214869	0
rev_ENSP00000215057	0
rev_ENSP00000215061	0
rev_ENSP00000215069	-1
rev_ENSP00000215071	0
